Name,Age,Marks,Subject,Admission
Noor Malik,22,541,Computer,No
Bilal Malik,17,546,Math,No
Zain Shah,18,914,Math,Yes
Noor Ahmed,16,720,Math,No
Iqra Farooq,22,752,Math,Yes
Noor Ahmed,21,760,Computer,Yes
Ali Malik,22,855,Computer,Yes
Hina Malik,21,940,Arts,Yes
Ayesha Butt,22,676,Medical,Yes
Iqra Butt,16,591,Medical,No
Ali Shah,19,856,Arts,No
Ahmed Malik,18,941,Computer,Yes
Hina Shah,17,677,Arts,No
Noor Ahmed,21,987,Computer,Yes
Usman Malik,21,718,Math,Yes
Usman Khan,16,637,Medical,No
Ali Raza,20,526,Computer,No
Zain Ali,19,785,Computer,Yes
Iqra Shah,20,742,Computer,Yes
Noor Khan,21,862,Medical,Yes
Zain Butt,20,936,Math,Yes
Noor Shah,20,903,Computer,Yes
Sara Malik,16,568,Math,No
Ahmed Butt,21,848,Arts,No
Hina Shah,18,925,Medical,Yes
Ahmed Malik,21,963,Computer,Yes
Iqra Ahmed,22,848,Computer,Yes
Zain Ali,17,771,Computer,No
Noor Ahmed,22,610,Medical,Yes
Ahmed Butt,22,524,Arts,No
Sara Khan,21,785,Computer,Yes
Bilal Ali,19,749,Computer,Yes
Noor Butt,20,501,Math,No
Iqra Raza,18,942,Computer,Yes
Bilal Ahmed,16,519,Computer,No
Iqra Ali,19,861,Computer,Yes
Bilal Farooq,16,802,Arts,No
Noor Ahmed,19,852,Math,Yes
Hina Ahmed,19,582,Medical,Yes
Hina Butt,16,951,Math,No
Zain Butt,16,916,Computer,No
Hina Khan,22,588,Math,Yes
Noor Butt,21,745,Math,Yes
Noor Ahmed,16,756,Arts,No
Ahmed Ahmed,20,684,Math,Yes
Ahmed Butt,18,707,Medical,Yes
Iqra Butt,20,780,Arts,No
Iqra Malik,18,854,Arts,No
Sara Shah,21,626,Computer,Yes
Hina Malik,21,702,Medical,Yes
Hina Malik,21,715,Medical,Yes
Bilal Khan,16,534,Medical,No
Ali Khan,16,776,Medical,No
Usman Farooq,21,811,Math,Yes
Usman Ahmed,19,552,Medical,Yes
Zain Butt,19,823,Computer,Yes
Zain Butt,18,864,Math,Yes
Bilal Farooq,21,769,Arts,No
Hina Khan,20,590,Medical,Yes
Iqra Shah,21,788,Math,Yes
Noor Khan,22,515,Math,No
Sara Malik,19,735,Arts,No
Sara Butt,20,949,Computer,Yes
Hina Butt,16,916,Computer,No
Zain Raza,18,885,Computer,Yes
Ayesha Butt,19,714,Computer,Yes
Noor Butt,16,817,Computer,No
Noor Shah,21,629,Medical,Yes
Zain Ali,17,713,Math,No
Ahmed Shah,21,989,Computer,Yes
Hina Shah,19,728,Computer,Yes
Sara Ahmed,21,642,Medical,Yes
Zain Raza,16,508,Computer,No
Sara Ahmed,21,592,Arts,No
Hina Butt,17,519,Computer,No
Ahmed Ahmed,18,631,Computer,Yes
Zain Malik,18,573,Arts,No
Zain Malik,19,846,Computer,Yes
Bilal Raza,22,651,Math,Yes
Ali Ali,20,671,Medical,Yes
Hina Khan,20,565,Math,Yes
Bilal Khan,16,803,Math,No
Ali Ahmed,18,523,Medical,No
Zain Khan,20,939,Computer,Yes
Usman Butt,21,719,Math,Yes
Sara Khan,19,738,Math,Yes
Ali Malik,18,865,Computer,Yes
Ahmed Farooq,20,876,Computer,Yes
Zain Ahmed,17,862,Math,No
Zain Raza,19,559,Math,Yes
Iqra Malik,16,710,Arts,No
Bilal Ali,18,911,Computer,Yes
Ahmed Raza,17,894,Computer,No
Zain Ali,17,659,Arts,No
Ali Ali,20,940,Math,Yes
Sara Raza,18,584,Math,Yes
Zain Farooq,19,759,Computer,Yes
Noor Butt,21,680,Medical,Yes
Ali Khan,22,860,Computer,Yes
Iqra Shah,20,539,Arts,No
Ahmed Malik,19,590,Medical,Yes
Hina Ahmed,16,554,Computer,No
Ahmed Khan,20,852,Arts,No
Usman Ali,19,937,Math,Yes
Iqra Ali,16,987,Computer,No
Hina Malik,17,618,Medical,No
Noor Butt,20,961,Computer,Yes
Ali Khan,18,891,Math,Yes
Ayesha Butt,22,526,Math,No
Iqra Khan,19,559,Computer,Yes
Noor Khan,21,802,Math,Yes
Iqra Malik,16,945,Arts,No
Ayesha Malik,21,716,Math,Yes
Ali Raza,19,719,Medical,Yes
Iqra Raza,16,804,Computer,No
Hina Khan,18,517,Math,No
Noor Ahmed,17,913,Arts,No
Bilal Ahmed,16,913,Medical,No
Noor Ali,17,905,Medical,No
Ayesha Butt,17,575,Medical,No
Iqra Malik,19,726,Computer,Yes
Bilal Ahmed,19,555,Medical,Yes
Bilal Farooq,20,803,Medical,Yes
Ali Malik,17,698,Computer,No
Sara Raza,17,825,Computer,No
Ahmed Shah,21,573,Medical,Yes
Bilal Raza,22,620,Medical,Yes
Ali Ahmed,18,766,Math,Yes
Bilal Shah,17,577,Computer,No
Sara Shah,19,810,Computer,Yes
Zain Butt,22,754,Arts,No
Hina Butt,17,821,Computer,No
Sara Ali,17,663,Math,No
Bilal Shah,17,633,Arts,No
Zain Malik,18,632,Medical,Yes
Bilal Malik,17,639,Arts,No
Noor Ahmed,21,818,Medical,Yes
Hina Malik,19,550,Math,Yes
Bilal Khan,22,548,Medical,No
Usman Khan,18,774,Math,Yes
Hina Raza,22,637,Arts,No
Ayesha Raza,22,632,Arts,No
Sara Malik,16,527,Arts,No
Usman Raza,17,689,Medical,No
Zain Farooq,22,932,Medical,Yes
Noor Malik,16,653,Medical,No
Ahmed Shah,16,630,Computer,No
Hina Malik,21,859,Medical,Yes
Bilal Butt,17,797,Computer,No
Iqra Malik,20,516,Math,No
Usman Farooq,20,815,Math,Yes
Zain Malik,20,565,Computer,Yes
Ayesha Farooq,18,800,Math,Yes
Ahmed Ahmed,22,854,Medical,Yes
Iqra Farooq,20,873,Computer,Yes
Iqra Shah,22,786,Arts,No
Zain Malik,17,953,Math,No
Bilal Malik,19,802,Arts,No
Ahmed Ali,16,794,Arts,No
Zain Ali,16,718,Medical,No
Zain Ahmed,17,831,Computer,No
Bilal Khan,22,567,Math,Yes
Iqra Raza,18,686,Medical,Yes
Usman Khan,16,661,Math,No
Bilal Ali,17,686,Arts,No
Ahmed Malik,16,563,Math,No
Hina Malik,19,878,Math,Yes
Sara Ali,19,972,Computer,Yes
Zain Shah,18,936,Medical,Yes
Zain Ahmed,19,613,Computer,Yes
Ayesha Ali,18,998,Computer,Yes
Usman Ali,20,642,Medical,Yes
Ayesha Ahmed,18,936,Medical,Yes
Ahmed Butt,17,933,Computer,No
Usman Shah,16,788,Arts,No
Bilal Farooq,17,743,Computer,No
Ahmed Ahmed,20,693,Computer,Yes
Ahmed Khan,21,664,Math,Yes
Hina Shah,21,819,Math,Yes
Bilal Khan,16,932,Arts,No
Noor Malik,22,908,Math,Yes
Bilal Shah,19,909,Math,Yes
Sara Raza,20,776,Medical,Yes
Usman Ali,18,521,Math,No
Usman Malik,18,969,Math,Yes
Ali Butt,18,617,Medical,Yes
Ali Raza,20,618,Math,Yes
Bilal Malik,19,770,Computer,Yes
Usman Raza,18,782,Medical,Yes
Bilal Khan,21,961,Computer,Yes
Zain Ahmed,20,873,Medical,Yes
Ahmed Malik,19,848,Computer,Yes
Iqra Farooq,17,553,Medical,No
Zain Ahmed,16,884,Math,No
Bilal Shah,16,767,Computer,No
Ali Ali,16,677,Math,No
Usman Khan,16,565,Computer,No
Iqra Khan,22,857,Medical,Yes
Ayesha Ali,21,636,Arts,No
Ali Shah,18,925,Medical,Yes
Ayesha Shah,22,614,Computer,Yes
Sara Butt,19,599,Computer,Yes
Bilal Malik,19,589,Medical,Yes
Usman Ali,17,574,Arts,No
Hina Butt,16,588,Medical,No
Noor Shah,18,596,Computer,Yes
Zain Farooq,22,953,Medical,Yes
Zain Khan,17,958,Computer,No
Ayesha Butt,16,760,Math,No
Zain Raza,17,948,Computer,No
Noor Malik,22,966,Math,Yes
Ali Ahmed,18,870,Computer,Yes
Ahmed Raza,18,524,Computer,No
Ayesha Ahmed,22,615,Arts,No
Ayesha Khan,17,602,Medical,No
Ahmed Shah,16,884,Computer,No
Hina Butt,20,820,Computer,Yes
Sara Malik,21,561,Computer,Yes
Usman Raza,20,525,Math,No
Ahmed Farooq,20,573,Medical,Yes
Noor Malik,22,612,Medical,Yes
Ayesha Khan,16,793,Computer,No
Zain Farooq,21,782,Arts,No
Ahmed Shah,20,928,Medical,Yes
Usman Raza,21,819,Medical,Yes
Ahmed Malik,17,746,Computer,No
Hina Ali,18,807,Arts,No
Zain Butt,16,563,Computer,No
Ahmed Raza,18,765,Medical,Yes
Iqra Farooq,21,903,Arts,Yes
Bilal Malik,19,744,Computer,Yes
Sara Ahmed,19,793,Math,Yes
Ali Shah,17,772,Math,No
Noor Malik,21,687,Computer,Yes
Ali Khan,22,777,Computer,Yes
Usman Ahmed,16,594,Computer,No
Ayesha Ali,18,555,Math,Yes
Usman Farooq,20,569,Math,Yes
Sara Raza,16,911,Computer,No
Hina Farooq,22,986,Computer,Yes
Noor Shah,17,939,Computer,No
Usman Raza,19,889,Math,Yes
Zain Ali,20,513,Arts,No
Ali Khan,18,631,Computer,Yes
Noor Farooq,16,647,Medical,No
Sara Shah,17,736,Math,No
Iqra Ahmed,20,509,Computer,No
Sara Farooq,18,638,Math,Yes
Bilal Farooq,18,543,Arts,No
Ayesha Shah,16,730,Computer,No
Ali Shah,16,909,Computer,No
Sara Ahmed,18,955,Medical,Yes
Iqra Ahmed,17,688,Math,No
Ayesha Ali,21,992,Computer,Yes
Ahmed Khan,17,758,Arts,No
Ali Butt,22,592,Math,Yes
